TimeStamp,open,high,low,close,Volume
2020-12-28 09:30:00,369.0,371.8,369.0,371.25,453540
2020-12-28 09:35:00,371.27,371.43,371.15,371.23,320134
2020-12-28 09:40:00,371.24,371.5,371.17,371.405,213351
2020-12-28 09:45:00,371.4381,371.65,371.26,371.575,201508
2020-12-28 09:50:00,371.575,371.575,371.26,371.44,179065
2020-12-28 09:55:00,371.43,371.48,371.3628,371.38,139885
2020-12-28 10:00:00,371.37,371.5178,371.37,371.4801,175241
2020-12-28 10:05:00,371.5,371.505,371.17,371.33,161087
2020-12-28 10:10:00,371.33,371.705,371.33,371.53,240375
2020-12-28 10:15:00,371.53,371.6191,371.46,371.5,127486
2020-12-28 10:20:00,371.47,371.9522,371.44,371.9511,227591
2020-12-28 10:25:00,371.9859,372.06,371.84,372.01,208528
2020-12-28 10:30:00,372.01,372.21,371.97,372.08,188211
2020-12-28 10:35:00,372.1,372.21,372.09,372.15,102388
2020-12-28 10:40:00,372.14,372.3,372.1,372.17,122720
2020-12-28 10:45:00,372.17,372.21,372.04,372.08,119495
2020-12-28 10:50:00,372.0741,372.25,372.04,372.17,81385
2020-12-28 10:55:00,372.175,372.1875,372.07,372.088,90346
2020-12-28 11:00:00,372.09,372.13,371.96,371.96,113289
2020-12-28 11:05:00,371.95,372.03,371.91,372.0,83711
2020-12-28 11:10:00,372.015,372.02,371.87,371.89,71455
2020-12-28 11:15:00,371.89,371.9,371.79,371.88,95068
2020-12-28 11:20:00,371.88,371.9499,371.81,371.92,82684
2020-12-28 11:25:00,371.92,371.945,371.88,371.94,64135
2020-12-28 11:30:00,371.92,371.98,371.85,371.85,76691
2020-12-28 11:35:00,371.86,371.9,371.81,371.895,62066
2020-12-28 11:40:00,371.895,372.0,371.8719,371.94,47698
2020-12-28 11:45:00,371.94,372.05,371.94,371.99,55460
2020-12-28 11:50:00,371.995,371.9966,371.81,371.86,72696
2020-12-28 11:55:00,371.86,371.87,371.77,371.85,47427
2020-12-28 12:00:00,371.84,371.91,371.8199,371.891,52892
2020-12-28 12:05:00,371.891,371.97,371.88,371.94,82356
